id,name,nric,dob,address,phone,email,employment,income,referral_source,area_of_law,status,notes
1269,Siti Hassan,S2085367E,1976-08-02,Blk 233 Ang Mo Kio Ave 3 #19-085,81796651,siti.hassan@example.com,Student,about 2k,,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1270,Zhi Hao Koh,S2068626F,1963-04-20,Blk 219 Dover Rd #18-113,82009297,zhi.koh@example.com,Employed,1800,Community centre,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1271,Wei Ming Tan,T7122989J,28/8/2002,Blk 310 Bedok Nth Rd #10-258,89352117,wei.tan@example.com,Part-time,3200,Facebook,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1272,Anand Rajan,T8042343Z,1972-10-26,Blk 348 Bedok Nth Rd #13-247,89791199,anand.rajan@example.com,Self-employed,3000,Google,Employment,Closed,Salary unpaid for two months. Employer not responding.
1273,Li Ying Ong,S5377890A,4/7/1971,Blk 158 Bishan St 12 #07-020,83402401,li.ong@example.com,Unemployed,unknown,,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1274,Mei Ling Goh,S6442151E,1981-09-07,Blk 365 Telok Blangah Cres #08-016,83993893,mei.goh@example.com,Employed,,Community centre,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1275,Bernard Tham,T0016844H,1/2/1961,Blk 304 Ang Mo Kio Ave 3 #08-256,84273647,bernard.tham@example.com,Employed,0,,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1276,Marcus DCruz,S7187257I,20/8/1994,Blk 168 Tampines St 41 #10-240,89930925,marcus.dcruz@example.com,Employed,"$3,200",,Tenancy,Open,"Rental arrears dispute, landlord changed the lock."
1277,Mei Ling Goh,S2042804H,1977-07-13,Blk 266 Toa Payoh Lor 1 #17-223,83229530,mei.goh@example.com,Employed,0,Previous client,Small claims,Closed,"Online purchase never delivered, seller unreachable."
1278,Chin Hock Teo,S8441324G,23/9/1958,Blk 252 Dover Rd #10-028,89538643,chin.teo@example.com,Self-employed,3200,Friend,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1279,Pei Shan Sim,S5826380B,1991-02-14,Blk 331 Hougang Ave 8 #05-225,86019399,pei.sim@example.com,Unemployed,2600,,Wills and probate,Closed,"Small estate, bank refuses to release without grant."
1280,Shu Fen Ng,S3848441B,21-Feb-70,Blk 6 Bishan St 12 #07-148,89819492,shu.ng@example.com,Unemployed,1800,,Consumer debt,Closed,"Credit card debt, harassment calls to workplace."
1281,Danial Latiff,T7040630Z,1997-11-22,Blk 664 Tampines St 41 #13-283,81968618,danial.latiff@example.com,Student,unknown,Previous client,Small claims,Open,"Online purchase never delivered, seller unreachable."
1282,Kavitha Menon,S7110953C,,Blk 67 Tampines St 41 #10-179,82316963,kavitha.menon@example.com,Unemployed,~3000,Facebook,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1283,Pei Shan Sim,T3771108H,5-Nov-77,Blk 399 Commonwealth Dr #18-105,88740736,pei.sim@example.com,Employed,,,Employment,Closed,Claims constructive dismissal. Wants to know options.
1284,Pei Shan Sim,T9236029H,1960-08-09,Blk 535 Toa Payoh Lor 1 #20-254,87175366,pei.sim@example.com,Self-employed,,Family Service Centre,Employment,Closed,Claims constructive dismissal. Wants to know options.
1285,Danial Latiff,S5064847D,1990-07-21,Blk 642 Commonwealth Dr #12-239,84914116,danial.latiff@example.com,Employed,1800,Walk-in,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1286,Zhi Hao Koh,S3607008A,,Blk 163 Commonwealth Dr #10-068,88701454,zhi.koh@example.com,Retired,,Community centre,Tenancy,Open,"Eviction notice, 1 week given. Family with young children."
1287,Kok Wai Wong,T8121172C,,Blk 14 Yishun Ring Rd #11-023,85691991,kok.wong@example.com,Unemployed,3000,Family Service Centre,Tenancy,Closed,"Aircon and water heater broken 3 months, landlord ignores."
1288,Bernard Tham,T2473617H,2/9/1958,Blk 440 Hougang Ave 8 #20-182,84315682,bernard.tham@example.com,Part-time,"$2,500",,Consumer debt,Closed,"Bought faulty phone, shop refuses refund."
1289,Farah Karim,S9721734I,17-Jan-77,Blk 540 Bedok Nth Rd #02-199,82157467,farah.karim@example.com,Employed,3000,Friend,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1290,Danial Latiff,S6201125I,1999-12-18,Blk 109 Woodlands Dr 50 #17-065,87163435,danial.latiff@example.com,Self-employed,"$2,500",,Tenancy,Open,"Eviction notice, 1 week given. Family with young children."
1291,Hui Ling Lim,T3198705C,1999-07-24,Blk 232 Bedok Nth Rd #18-028,84303677,hui.lim@example.com,Self-employed,2200,MP meet-the-people,Employment,Open,Claims constructive dismissal. Wants to know options.
1292,Farah Karim,T0474648J,1980-01-22,Blk 515 Toa Payoh Lor 1 #04-040,87031342,farah.karim@example.com,Employed,4200,Friend,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1293,Ravi Das,S8253549C,9/7/1992,Blk 138 Hougang Ave 8 #11-285,84954285,ravi.das@example.com,Unemployed,3200,MP meet-the-people,Employment,Open,Dismissed after raising a safety complaint. Has messages.
1294,Li Ying Ong,S3837092F,6/2/1999,Blk 26 Hougang Ave 8 #05-132,83172452,li.ong@example.com,Unemployed,2200,Walk-in,Consumer debt,Open,"Bought faulty phone, shop refuses refund."
1295,Xin Yi Yeo,T1981753F,1985-07-23,Blk 331 Hougang Ave 8 #20-226,86127489,xin.yeo@example.com,Unemployed,3800,,Consumer debt,Open,"Renovation contractor took deposit, work not done."
1296,Vijay Iyer,S6400733F,1976-03-17,Blk 399 Bedok Nth Rd #04-163,85232819,vijay.iyer@example.com,Self-employed,0,,Neighbour disputes,Open,"Shared corridor blocked with items, fire hazard."
1297,Jia Hao Lee,S1784880B,,Blk 19 Woodlands Dr 50 #16-084,81735481,jia.lee@example.com,Unemployed,0,Previous client,Tenancy,Open,"Aircon and water heater broken 3 months, landlord ignores."
1298,Hui Ling Lim,S0741788Z,,Blk 653 Jurong West St 52 #12-243,88383356,hui.lim@example.com,Self-employed,"$2,500",Walk-in,Consumer debt,Open,"Credit card debt, harassment calls to workplace."
1299,Bernard Tham,S8300112B,1972-02-16,Blk 244 Clementi Ave 4 #06-200,87033811,bernard.tham@example.com,Retired,3200,Facebook,Employment,Closed,Salary unpaid for two months. Employer not responding.
1300,Xin Yi Yeo,T3437906F,6-Dec-70,Blk 3 Telok Blangah Cres #14-119,82018831,xin.yeo@example.com,Retired,3200,Google,Unassigned,Closed,"Walk-in, complex family matter, referred elsewhere?"
1301,Pei Shan Sim,T0182803A,1996-11-27,Blk 175 Tampines St 41 #12-027,83891732,pei.sim@example.com,Student,n/a,,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1302,Marcus DCruz,T4811350J,17/11/1967,Blk 394 Woodlands Dr 50 #02-281,85564677,marcus.dcruz@example.com,Employed,2200,MP meet-the-people,Unassigned,Closed,Not sure we can help - flag for manager.
1303,Kavitha Menon,S4975333F,1959-05-02,Blk 290 Clementi Ave 4 #11-077,83820420,kavitha.menon@example.com,Self-employed,0,,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1304,Siti Hassan,T8338188Z,2/12/1958,Blk 483 Yishun Ring Rd #17-228,88235183,siti.hassan@example.com,Self-employed,n/a,,Small claims,Closed,"Deposit for wedding photography, vendor closed down."
1305,Ravi Das,T7400334F,,Blk 548 Hougang Ave 8 #19-016,86005304,ravi.das@example.com,Student,,Previous client,Neighbour disputes,Closed,"Smoking at corridor, children asthmatic."
1306,Ravi Das,S4003211I,12/12/1966,Blk 70 Yishun Ring Rd #13-212,82184575,ravi.das@example.com,Unemployed,3200,Google,Unassigned,Open,Not sure we can help - flag for manager.
1307,Li Ying Ong,T6609878I,14/10/1972,Blk 573 Toa Payoh Lor 1 #04-038,81873763,li.ong@example.com,Student,3800,,Neighbour disputes,Closed,"Shared corridor blocked with items, fire hazard."
1308,Priya Nair,S6472072I,18/3/1992,Blk 32 Hougang Ave 8 #04-218,82500378,priya.nair@example.com,Employed,3800,Walk-in,Employment,Closed,Claims constructive dismissal. Wants to know options.
1309,Priya Nair,T1031187I,1-Aug-67,Blk 191 Clementi Ave 4 #12-143,87463124,priya.nair@example.com,Self-employed,3000,MP meet-the-people,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1310,Meena Subramaniam,T1501674I,22/10/1979,Blk 357 Commonwealth Dr #19-240,87648391,meena.subramaniam@example.com,Retired,2600,Previous client,Small claims,Closed,"Online purchase never delivered, seller unreachable."
1311,Bernard Tham,S1195748J,1973-03-15,Blk 474 Woodlands Dr 50 #17-257,84111853,bernard.tham@example.com,Retired,,Facebook,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1312,Farah Karim,T5406923F,1972-12-05,Blk 361 Yishun Ring Rd #02-165,86093928,farah.karim@example.com,Retired,1500,,Consumer debt,Closed,"Renovation contractor took deposit, work not done."
1313,Jia Hao Lee,T3115417A,27-Feb-80,Blk 91 Ang Mo Kio Ave 3 #19-036,83684444,jia.lee@example.com,Retired,unknown,Google,Tenancy,Closed,"Eviction notice, 1 week given. Family with young children."
1314,Priya Nair,T7183473H,25/6/1981,Blk 278 Clementi Ave 4 #03-131,86447385,priya.nair@example.com,Part-time,0,Google,Consumer debt,Closed,"Bought faulty phone, shop refuses refund."
1315,Ravi Das,S2663003B,10/11/1985,Blk 583 Jurong West St 52 #19-079,81917868,ravi.das@example.com,Unemployed,,Facebook,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1316,Pei Shan Sim,S2894434A,1984-09-28,Blk 243 Commonwealth Dr #12-220,88379655,pei.sim@example.com,Part-time,"$2,500",Friend,Tenancy,Open,"Sub-tenant, main tenant vanished, agent demanding rent."
1317,Anand Rajan,S0990039C,25/2/1986,Blk 62 Jurong West St 52 #07-140,81276192,anand.rajan@example.com,Self-employed,0,Family Service Centre,Employment,Closed,Salary unpaid for two months. Employer not responding.
1318,Jia Hao Lee,T2805477A,1995-02-21,Blk 144 Yishun Ring Rd #16-277,85714929,jia.lee@example.com,Self-employed,"$1,800",,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1319,Pei Shan Sim,T4667197Z,1957-08-08,Blk 43 Woodlands Dr 50 #13-171,85322228,pei.sim@example.com,Unemployed,,,Tenancy,Closed,"Eviction notice, 1 week given. Family with young children."
1320,Bernard Tham,T9159775I,28/7/1967,Blk 117 Commonwealth Dr #10-124,88077685,bernard.tham@example.com,Retired,"$2,500",,Unassigned,Open,"Immigration question - out of scope, note for records."
1321,Iskandar Salleh,S7801094F,5-Jun-78,Blk 577 Toa Payoh Lor 1 #20-062,89672567,iskandar.salleh@example.com,Self-employed,"$2,500",,Employment,Closed,Dismissed after raising a safety complaint. Has messages.
1322,Chin Hock Teo,S8087333D,8/12/1969,Blk 551 Telok Blangah Cres #11-129,85555406,chin.teo@example.com,Employed,3200,Google,Small claims,Closed,"Deposit for wedding photography, vendor closed down."
1323,Siti Hassan,S6726094Z,23-Mar-56,Blk 647 Bedok Nth Rd #12-150,88211716,siti.hassan@example.com,Retired,0,Family Service Centre,Wills and probate,Closed,"Executor of aunt's estate, unsure of duties."
1324,Pei Shan Sim,S8186788F,9/7/1965,Blk 134 Dover Rd #13-189,88884763,pei.sim@example.com,Self-employed,4200,Walk-in,Unassigned,Open,Not sure we can help - flag for manager.
1325,Chin Hock Teo,T5168406F,1955-09-06,Blk 367 Bedok Nth Rd #11-011,86646270,chin.teo@example.com,Part-time,"$2,500",MP meet-the-people,Wills and probate,Open,Needs LPA for elderly mother with dementia.
1326,Xin Yi Yeo,T8081208C,2/6/1975,Blk 9 Telok Blangah Cres #13-082,83098136,xin.yeo@example.com,Self-employed,3800,Walk-in,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1327,Hui Ling Lim,T9643248F,1965-03-12,Blk 82 Commonwealth Dr #08-228,89451322,hui.lim@example.com,Part-time,,,Employment,Closed,Claims constructive dismissal. Wants to know options.
1328,Jia Hao Lee,T7749024C,1981-07-09,Blk 162 Jurong West St 52 #05-109,86052743,jia.lee@example.com,Unemployed,"$3,200",Walk-in,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1329,Zhi Hao Koh,T3930402D,1998-01-18,Blk 132 Tampines St 41 #10-091,84363560,zhi.koh@example.com,Self-employed,,,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1330,Jia Hao Lee,S0430493F,1964-01-26,Blk 221 Ang Mo Kio Ave 3 #06-068,81173133,jia.lee@example.com,Employed,unknown,,Consumer debt,Closed,"Credit card debt, harassment calls to workplace."
1331,Li Ying Ong,S2344205F,18-Jul-85,Blk 440 Yishun Ring Rd #04-269,85649152,li.ong@example.com,Student,"$2,500",Community centre,Consumer debt,Open,"Guarantor for a friend's loan, friend defaulted."
1332,Danial Latiff,S6999354E,1965-06-07,Blk 598 Ang Mo Kio Ave 3 #16-242,87069747,danial.latiff@example.com,Unemployed,2200,Walk-in,Employment,Closed,Salary unpaid for two months. Employer not responding.
1333,Shu Fen Ng,T3849130E,1974-03-11,Blk 507 Tampines St 41 #16-152,83761344,shu.ng@example.com,Employed,3000,Walk-in,Employment,Open,Salary unpaid for two months. Employer not responding.
1334,Kavitha Menon,T5176851J,12/5/1993,Blk 678 Bedok Nth Rd #10-091,86075046,kavitha.menon@example.com,Student,about 2k,Facebook,Small claims,Closed,"Car workshop overcharged, poor repair."
1335,Pei Shan Sim,T2515161J,23/6/1972,Blk 626 Tampines St 41 #15-272,83521226,pei.sim@example.com,Retired,1500,Family Service Centre,Employment,Closed,Salary unpaid for two months. Employer not responding.
1336,Faizal Osman,T2856779I,23/6/2002,Blk 219 Telok Blangah Cres #06-106,83988677,faizal.osman@example.com,Student,"$1,800",Community centre,Neighbour disputes,Closed,Dispute over shared wall renovation.
1337,Jia Hao Lee,S2786824J,27/10/1987,Blk 641 Ang Mo Kio Ave 3 #12-276,81465278,jia.lee@example.com,Employed,n/a,,Consumer debt,Open,"Bought faulty phone, shop refuses refund."
1338,Farah Karim,T2942233Z,2003-07-06,Blk 144 Clementi Ave 4 #07-029,87767236,farah.karim@example.com,Self-employed,2600,,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1339,Xin Yi Yeo,T1320183E,12-Dec-81,Blk 496 Hougang Ave 8 #16-139,88077722,xin.yeo@example.com,Self-employed,"$2,500",Previous client,Consumer debt,Closed,"Loan from licensed moneylender, disputes amount owed."
1340,Farah Karim,S4513069A,1990-05-15,Blk 235 Tampines St 41 #10-091,88643591,farah.karim@example.com,Student,0,Google,Consumer debt,Open,"Guarantor for a friend's loan, friend defaulted."
1341,Ravi Das,T6551621J,14/12/1997,Blk 383 Ang Mo Kio Ave 3 #08-143,89869444,ravi.das@example.com,Self-employed,3800,,Wills and probate,Open,"Father passed, no will, HDB flat, siblings disagree."
1342,Nurul Ibrahim,S8473038B,8/2/1967,Blk 107 Commonwealth Dr #03-005,84763076,nurul.ibrahim@example.com,Student,2600,Friend,Wills and probate,Open,"Father passed, no will, HDB flat, siblings disagree."
1343,Li Ying Ong,S9979843G,1958-12-06,Blk 147 Woodlands Dr 50 #02-150,81217006,li.ong@example.com,Retired,"$3,200",,Neighbour disputes,Closed,Dispute over shared wall renovation.
1344,Marcus DCruz,T7613106D,1984-12-12,Blk 604 Commonwealth Dr #13-067,81133085,marcus.dcruz@example.com,Student,,Facebook,Small claims,Open,"Deposit for wedding photography, vendor closed down."
1345,Priya Nair,T3856549F,4/3/2000,Blk 349 Yishun Ring Rd #19-135,84324909,priya.nair@example.com,Part-time,1500,Google,Neighbour disputes,Open,"Shared corridor blocked with items, fire hazard."
1346,Yong Sheng Chua,S2703115I,12/7/1991,Blk 590 Toa Payoh Lor 1 #07-034,87457160,yong.chua@example.com,Retired,"$3,200",,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1347,Mei Ling Goh,T9898699D,17/11/1956,Blk 260 Hougang Ave 8 #03-039,82372705,mei.goh@example.com,Retired,unknown,,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1348,Pei Shan Sim,T4524900J,1964-11-19,Blk 698 Clementi Ave 4 #08-098,87242213,pei.sim@example.com,Student,4200,Family Service Centre,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1349,Mei Ling Goh,T8535390J,1997-07-27,Blk 645 Ang Mo Kio Ave 3 #08-222,85761097,mei.goh@example.com,Self-employed,~3000,,Consumer debt,Open,"Bought faulty phone, shop refuses refund."
1350,Hui Ling Lim,S0290549I,19-May-81,Blk 51 Hougang Ave 8 #18-164,83240073,hui.lim@example.com,Part-time,4200,Family Service Centre,Neighbour disputes,Closed,Dispute over shared wall renovation.
1351,Jia Hao Lee,S7069874G,12/4/1988,Blk 585 Tampines St 41 #08-128,88479347,jia.lee@example.com,Self-employed,1800,Google,Small claims,Closed,"Deposit for wedding photography, vendor closed down."
1352,Mei Ling Goh,S1917556Z,1993-11-20,Blk 685 Bedok Nth Rd #14-141,81526395,mei.goh@example.com,Part-time,3800,MP meet-the-people,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1353,Zhi Hao Koh,T2645417C,19-Nov-61,Blk 434 Tampines St 41 #16-292,81960439,zhi.koh@example.com,Self-employed,2200,Facebook,Wills and probate,Closed,Needs LPA for elderly mother with dementia.
1354,Farah Karim,T9263569A,14/3/1956,Blk 374 Yishun Ring Rd #17-067,85100588,farah.karim@example.com,Employed,"$1,800",Walk-in,Tenancy,Open,"Aircon and water heater broken 3 months, landlord ignores."
1355,Li Ying Ong,T7816336D,1963-11-20,Blk 462 Telok Blangah Cres #19-251,82991846,li.ong@example.com,Unemployed,3000,Community centre,Consumer debt,Closed,"Renovation contractor took deposit, work not done."
1356,Faizal Osman,T3507675D,,Blk 434 Jurong West St 52 #14-177,84460987,faizal.osman@example.com,Student,"$2,500",,Neighbour disputes,Closed,"Noise from upstairs unit, nightly, HDB."
1357,Elaine Pereira,T8585168I,1962-09-27,Blk 610 Bishan St 12 #17-002,86392068,elaine.pereira@example.com,Part-time,n/a,,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1358,Xin Yi Yeo,S1745929D,5-May-82,Blk 274 Ang Mo Kio Ave 3 #07-292,82526471,xin.yeo@example.com,Unemployed,"$3,200",Walk-in,Employment,Open,Salary unpaid for two months. Employer not responding.
1359,Wei Ming Tan,S5536731B,28-May-73,Blk 623 Toa Payoh Lor 1 #06-146,88219683,wei.tan@example.com,Part-time,"$1,800",,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1360,Aishah Rahman,T2069491E,25-Apr-62,Blk 318 Ang Mo Kio Ave 3 #17-171,86428182,aishah.rahman@example.com,Student,,Previous client,Consumer debt,Open,"Guarantor for a friend's loan, friend defaulted."
1361,Li Ying Ong,S4379749H,13-Nov-62,Blk 687 Woodlands Dr 50 #07-026,81916274,li.ong@example.com,Retired,unknown,Google,Tenancy,Closed,"Eviction notice, 1 week given. Family with young children."
1362,Anand Rajan,S4639876D,17-Mar-69,Blk 533 Woodlands Dr 50 #09-246,84959862,anand.rajan@example.com,Part-time,1500,Facebook,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1363,Priya Nair,S5334398D,2-Aug-89,Blk 360 Toa Payoh Lor 1 #18-197,81872509,priya.nair@example.com,Unemployed,"$2,500",Facebook,Tenancy,Open,"Eviction notice, 1 week given. Family with young children."
1364,Vijay Iyer,T8332238I,1975-09-04,Blk 336 Clementi Ave 4 #12-124,81927739,vijay.iyer@example.com,Retired,1800,Google,Employment,Closed,Salary unpaid for two months. Employer not responding.
1365,Marcus DCruz,T3576178H,4-Mar-61,Blk 272 Jurong West St 52 #10-291,84438791,marcus.dcruz@example.com,Employed,3200,Previous client,Employment,Open,Claims constructive dismissal. Wants to know options.
1366,Anand Rajan,S1647883G,22/9/1975,Blk 335 Toa Payoh Lor 1 #18-061,86022669,anand.rajan@example.com,Self-employed,4200,,Employment,Closed,"Injured at work, no MC paid. Small firm, no HR."
1367,Pei Shan Sim,T5735668J,6/4/1992,Blk 176 Ang Mo Kio Ave 3 #14-156,87330810,pei.sim@example.com,Retired,unknown,Previous client,Employment,Closed,Salary unpaid for two months. Employer not responding.
1368,Jia Hao Lee,S8200402C,14/5/2001,Blk 436 Dover Rd #19-195,83748749,jia.lee@example.com,Employed,1800,MP meet-the-people,Consumer debt,Open,"Credit card debt, harassment calls to workplace."
1369,Wei Ming Tan,T5435499Z,25/9/1995,Blk 23 Telok Blangah Cres #11-126,84176864,wei.tan@example.com,Employed,n/a,Friend,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1370,Zhi Hao Koh,S7711467I,1981-12-20,Blk 112 Ang Mo Kio Ave 3 #13-009,82466451,zhi.koh@example.com,Employed,2600,MP meet-the-people,Consumer debt,Open,"Loan from licensed moneylender, disputes amount owed."
1371,Priya Nair,T2945488E,24/10/1983,Blk 509 Commonwealth Dr #16-116,85380894,priya.nair@example.com,Retired,1800,Community centre,Employment,Closed,Claims constructive dismissal. Wants to know options.
1372,Li Ying Ong,S9902131I,,Blk 196 Ang Mo Kio Ave 3 #07-219,87547280,li.ong@example.com,Retired,4200,Google,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1373,Meena Subramaniam,T9324781E,3/4/1988,Blk 224 Toa Payoh Lor 1 #02-149,82466620,meena.subramaniam@example.com,Student,unknown,Walk-in,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1374,Chin Hock Teo,S0660119H,19/9/1994,Blk 453 Woodlands Dr 50 #20-140,84411148,chin.teo@example.com,Retired,0,Walk-in,Employment,Open,"Unpaid overtime, foreign worker, worried about pass status."
1375,Pei Shan Sim,T9914567I,6-Apr-72,Blk 416 Yishun Ring Rd #20-210,87287635,pei.sim@example.com,Employed,1500,Family Service Centre,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1376,Anand Rajan,S9260196H,1970-01-08,Blk 509 Hougang Ave 8 #19-174,81799716,anand.rajan@example.com,Unemployed,3000,Walk-in,Tenancy,Closed,"Eviction notice, 1 week given. Family with young children."
1377,Wei Ming Tan,S6828933J,12/9/1983,Blk 658 Dover Rd #03-029,83780641,wei.tan@example.com,Part-time,2600,,Tenancy,Closed,"Eviction notice, 1 week given. Family with young children."
1378,Kavitha Menon,S1676538H,27-Jun-01,Blk 52 Toa Payoh Lor 1 #13-006,84474066,kavitha.menon@example.com,Student,~3000,Walk-in,Tenancy,Closed,"Sub-tenant, main tenant vanished, agent demanding rent."
1379,Bernard Tham,T1278048A,22-Jul-92,Blk 314 Hougang Ave 8 #12-297,84010880,bernard.tham@example.com,Unemployed,"$3,200",Facebook,Unassigned,Open,"Immigration question - out of scope, note for records."
1380,Chin Hock Teo,S6936461Z,2/4/2003,Blk 245 Bishan St 12 #14-106,89376611,chin.teo@example.com,Retired,1800,Friend,Small claims,Open,"Online purchase never delivered, seller unreachable."
1381,Deepa Pillai,T1601795I,13/10/1984,Blk 375 Tampines St 41 #13-280,84037431,deepa.pillai@example.com,Self-employed,,Community centre,Employment,Open,Salary unpaid for two months. Employer not responding.
1382,Yong Sheng Chua,T7681108F,1-Nov-63,Blk 467 Commonwealth Dr #15-165,81104136,yong.chua@example.com,Self-employed,2200,Family Service Centre,Consumer debt,Closed,"Guarantor for a friend's loan, friend defaulted."
1383,Jia Hao Lee,S5843557C,1976-03-03,Blk 49 Hougang Ave 8 #11-032,86195851,jia.lee@example.com,Self-employed,n/a,,Neighbour disputes,Open,"Noise from upstairs unit, nightly, HDB."
1384,Danial Latiff,S1300363I,4-Mar-87,Blk 361 Commonwealth Dr #04-218,86175566,danial.latiff@example.com,Employed,1800,,Wills and probate,Open,"Executor of aunt's estate, unsure of duties."
1385,Chin Hock Teo,T5075320E,1989-04-22,Blk 111 Commonwealth Dr #17-219,84293107,chin.teo@example.com,Unemployed,,Friend,Consumer debt,Closed,"Loan from licensed moneylender, disputes amount owed."
1386,Meena Subramaniam,T7728732C,1974-05-16,Blk 307 Hougang Ave 8 #04-216,87568363,meena.subramaniam@example.com,Unemployed,2600,Facebook,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1387,Pei Shan Sim,T7019138H,,Blk 384 Telok Blangah Cres #12-293,82884378,pei.sim@example.com,Self-employed,"$1,800",,Consumer debt,Closed,"Loan from licensed moneylender, disputes amount owed."
1388,Suresh Kumar,S0172176G,17-Sep-65,Blk 395 Woodlands Dr 50 #18-029,89140911,suresh.kumar@example.com,Retired,3800,Family Service Centre,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1389,Mei Ling Goh,T8078805F,8/12/1996,Blk 168 Toa Payoh Lor 1 #11-234,88704835,mei.goh@example.com,Student,2600,Walk-in,Tenancy,Closed,Landlord withholding deposit. Verbal tenancy only.
1390,Kavitha Menon,T0740016J,,Blk 14 Woodlands Dr 50 #11-211,86507497,kavitha.menon@example.com,Part-time,"$2,500",Community centre,Tenancy,Closed,"Eviction notice, 1 week given. Family with young children."
1391,Kok Wai Wong,T7675179B,14/2/1998,Blk 28 Dover Rd #03-197,83281313,kok.wong@example.com,Retired,4200,Family Service Centre,Unassigned,Closed,"Immigration question - out of scope, note for records."
1392,Faizal Osman,S6897631C,3/2/1975,Blk 302 Dover Rd #02-125,89201261,faizal.osman@example.com,Self-employed,~3000,,Tenancy,Closed,"Aircon and water heater broken 3 months, landlord ignores."
1393,Xin Yi Yeo,T5851067A,1961-05-17,Blk 77 Woodlands Dr 50 #13-214,82313767,xin.yeo@example.com,Self-employed,4200,Family Service Centre,Tenancy,Open,Landlord withholding deposit. Verbal tenancy only.
1394,Wei Ming Tan,S8783098I,21-Oct-87,Blk 342 Woodlands Dr 50 #09-206,84887658,wei.tan@example.com,Retired,"$2,500",,Employment,Closed,"Unpaid overtime, foreign worker, worried about pass status."
1395,Faizal Osman,S6284915B,20/9/1970,Blk 84 Woodlands Dr 50 #11-072,86477193,faizal.osman@example.com,Self-employed,"$2,500",Google,Consumer debt,Open,"Guarantor for a friend's loan, friend defaulted."
1396,Mei Ling Goh,T6413000I,1971-09-18,Blk 123 Ang Mo Kio Ave 3 #02-135,89241906,mei.goh@example.com,Self-employed,"$3,200",Previous client,Employment,Closed,Claims constructive dismissal. Wants to know options.
1397,Kavitha Menon,T1924564A,19/5/1992,Blk 669 Tampines St 41 #05-042,81646129,kavitha.menon@example.com,Student,3200,Walk-in,Tenancy,Open,"Eviction notice, 1 week given. Family with young children."
1398,Josephine Fernandez,T0483917C,1977-08-07,Blk 303 Telok Blangah Cres #06-248,89340908,josephine.fernandez@example.com,Student,"$2,500",MP meet-the-people,Employment,Closed,Dismissed after raising a safety complaint. Has messages.
1399,Mei Ling Goh,S9621437F,4/4/1982,Blk 302 Bedok Nth Rd #17-004,83769439,mei.goh@example.com,Retired,"$3,200",Previous client,Small claims,Open,"Deposit for wedding photography, vendor closed down."
1400,Anand Rajan,S1609754J,3/9/1993,Blk 439 Bishan St 12 #11-036,88645208,anand.rajan@example.com,Unemployed,3800,Google,Tenancy,Closed,"Rental arrears dispute, landlord changed the lock."
1401,Aisyah Yusof,T3356696C,11/3/2002,Blk 151 Yishun Ring Rd #19-251,89920255,aisyah.yusof@example.com,Retired,,,Employment,Closed,Claims constructive dismissal. Wants to know options.
1402,Xin Yi Yeo,T3168526H,1976-01-18,Blk 301 Tampines St 41 #19-027,82620675,xin.yeo@example.com,Student,0,MP meet-the-people,Small claims,Closed,"Online purchase never delivered, seller unreachable."
